Customer ID,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
18102,8,49,169915.97000000012,5,5,5,555,Champions
14646,4,37,129156.14999999967,5,5,5,555,Champions
14156,2,52,115522.98999999964,5,5,5,555,Champions
13694,2,77,103783.39000000012,5,5,5,555,Champions
14911,1,91,69649.53999999979,5,5,5,555,Champions
16754,2,24,46631.47000000001,5,5,5,555,Champions
17511,23,13,42099.839999999975,4,5,5,455,Champions
15311,17,75,37842.28999999996,4,5,5,455,Champions
17949,0,51,35834.16,5,5,5,555,Champions
15061,16,39,34763.97999999998,5,5,5,555,Champions
13902,106,5,34095.26,2,5,5,255,At Risk
16684,2,15,30686.880000000005,5,5,5,555,Champions
16029,9,27,26916.88,5,5,5,555,Champions
17850,72,61,26470.40000000001,2,5,5,255,At Risk
13089,2,54,25767.700000000037,5,5,5,555,Champions
12482,50,29,23691.39999999998,3,5,5,355,Loyal Customers
17940,45,5,22579.35,3,5,5,355,Loyal Customers
14298,21,19,22315.66999999998,4,5,5,455,Champions
12931,24,24,19622.66,4,5,5,455,Champions
14680,9,31,19037.6,5,5,5,555,Champions
16779,0,23,18296.47000000002,5,5,5,555,Champions
13798,3,30,18208.07,5,5,5,555,Champions
17920,18,29,17982.52000000004,4,5,5,455,Champions
17841,0,54,17725.300000000145,5,5,5,555,Champions
15769,3,10,17466.0,5,5,5,555,Champions
13093,8,20,17020.320000000036,5,5,5,555,Champions
13081,1,9,16999.240000000056,5,5,5,555,Champions
14527,1,43,15691.460000000076,5,5,5,555,Champions
18008,3,10,15115.49,5,5,5,555,Champions
15768,7,28,14695.889999999994,5,5,5,555,Champions
17448,3,44,14526.96999999998,5,5,5,555,Champions
13408,21,27,14311.101999999995,4,5,5,455,Champions
12709,16,12,13927.749999999996,5,5,5,555,Champions
15760,105,2,13916.34,2,3,5,235,At Risk
16705,27,14,13303.240999999998,4,5,5,455,Champions
14258,15,9,12053.280000000006,5,5,5,555,Champions
14031,15,14,11854.10999999999,5,5,5,555,Champions
13802,5,10,11332.329999999996,5,5,5,555,Champions
16422,6,23,11185.189999999991,5,5,5,555,Champions
12918,100,1,10953.5,2,1,5,215,Lost
14606,2,54,10878.569999999996,5,5,5,555,Champions
18052,39,1,10877.18,3,1,5,315,Needs Attention
13881,22,8,10814.119999999995,4,5,5,455,Champions
18251,85,4,10724.67,2,4,5,245,At Risk
12471,3,28,10705.829999999994,5,5,5,555,Champions
14028,24,3,10396.5,4,4,5,445,Champions
17677,18,14,10390.940000000004,4,5,5,455,Champions
12921,0,18,10305.94,5,5,5,555,Champions
13777,19,15,10203.860000000006,4,5,5,455,Champions
15808,2,12,9573.910000000003,5,5,5,555,Champions
14091,128,2,9530.079999999998,1,3,5,135,At Risk
14063,161,7,9471.5,1,5,5,155,At Risk
12647,3,17,9140.410000000003,5,5,5,555,Champions
17675,23,23,9017.420000000004,4,5,5,455,Champions
12678,57,3,8874.669999999998,3,4,5,345,Loyal Customers
12681,14,14,8536.499999999998,5,5,5,555,Champions
13078,2,17,8510.220000000003,5,5,5,555,Champions
14160,84,7,8421.470000000001,2,5,5,255,At Risk
17865,22,13,8394.070000000002,4,5,5,455,Champions
